point,date,trip,study.region,water.source,sample.freq,dry,low.stagnt,sample.only,damaged,not.found,no.access,duplicate.taken,comment,field.depth.to.water.m,field.pump.flow.mL.min,field.temp.C,field.ec.uS.cm,field.DO.mg.L,field.pH,field.ORP.mV,TA.U.ug.L,D.TA.U.ug.L,SDSU.Se.ug.L,D.SDSU.Se.ug.L,SDUS.SeO3.ug.L,D.SDSU.SeO3.ug.L,SDSU.SeO4.ug.L,D.SDSU.SeO4.ug.L,SDSU.SeTREC.ug.L,D.SDSU.SeTREC.ug.L,SDSU.Fe.mg.L,D.SDSU.Fe.mg.L,SDSU.FeTREC.mg.L,D.SDSU.FeTREC.mg.L,Ward.pH,Ward.SAR,Ward.Adjusted.SAR,Ward.TDS.Est,Ward.EC,Ward.Cations,Ward.Anions,Ward.Sodium,Ward.Calcium,Ward.Magnesium,Ward.Potassium,Ward.Total.Hardness,Ward.Nitrate,Ward.Sulfur,Ward.CO3,Ward.HCO3,Ward.Chloride,Ward.Total.Alkalinity,Ward.Boron,Ward.Fluoride,Ward.Silica,Ward.Total.Nitrogen,Ward.Ammonium..NH4.,Ward.Ortho.P,Ward.Total.P,Ward.Zinc,Ward.Dissolved.Fe,Ward.Total.Fe,Ward.Manganese,Ward.Copper,Ward.Aluminum,Ward.Total.Solids,Ward.Total.Dissolved.Solids,Ward.Total.Suspended.Solids,Ward.Nitrite,Ward.Molybdenum,Ward.Total.Organic.Carbon.ppm,D.Ward.pH,D.Ward.SAR,D.Ward.Adjusted.SAR,D.Ward.TDS.Est,D.Ward.EC,D.Ward.Cations,D.Ward.Anions,D.Ward.Sodium,D.Ward.Calcium,D.Ward.Magnesium,D.Ward.Potassium,D.Ward.Total.Hardness,D.Ward.Nitrate,D.Ward.Sulfur,D.Ward.CO3,D.Ward.HCO3,D.Ward.Chloride,D.Ward.Total.Alkalinity,D.Ward.Boron,D.Ward.Fluoride,D.Ward.Silica,D.Ward.Total.Nitrogen,D.Ward.Ammonium..NH4.,D.Ward.Ortho.P,D.Ward.Total.P,D.Ward.Zinc,D.Ward.Dissolved.Fe,D.Ward.Total.Fe,D.Ward.Manganese,D.Ward.Copper,D.Ward.Aluminum,D.Ward.Total.Solids,D.Ward.Total.Dissolved.Solids,D.Ward.Total.Suspended.Solids,D.Ward.Nitrite,D.Ward.Molybdenum,D.Ward.Total.Organic.Carbon.ppm,calc.cat.an,calc.cat.meq,calc.an.meq,calc.cat.an.pct.dif,calc.TDS,calc.TDS.pct.dif,calc.NO3,calc.SO4
D1,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,4/26/2003,1,D,S,N,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D101C,5/5/2003,1,D,A,R,,,,,,,,,,,15.23,3179,10.07,7.94,192.5,,,8.02,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D101L,5/5/2003,1,D,A,N,,,,,,,,,,,15.36,3178,10.01,7.93,186,,,7.99,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D101R,5/5/2003,1,D,A,N,,,,,,,,,,,16.08,3180,10.45,7.94,183.6,,,8.08,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D102C,5/5/2003,1,D,A,R,,,,,,,,,,,16.47,3341,10.07,7.84,207.6,,,8.34,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D102L,5/5/2003,1,D,A,N,,,,,,,,,,,17.07,3340,10.29,7.85,207.5,,,8.38,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D102R,5/5/2003,1,D,A,N,,,,,,,,,,,16.45,3340,10.27,7.85,190,,,8.36,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D104C,5/5/2003,1,D,A,R,,,,,,,x,,,,21.91,4667,10.09,7.43,188.6,,,14.8,14.9,,,,,,,7.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D104L,5/5/2003,1,D,A,N,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D104R,5/5/2003,1,D,A,N,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D106C,5/5/2003,1,D,A,R,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D106L,5/5/2003,1,D,A,N,,,,,,,,,,,20,4569,14.88,7.85,193.6,,,18.2,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D106R,5/5/2003,1,D,A,N,,,,,,,,,,,20,4583,14.96,7.88,187.7,,,18,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D12,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D16,4/26/2003,1,D,S,R,,,,,,,,,,,14.82,2997,10.24,7.95,219.7,,,4.04,,,,,,,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D23,4/26/2003,1,D,S,R,,,,,,,,,,,13.74,4562,11.09,7.99,236.6,,,39.5,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D24,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D28,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D31,4/26/2003,1,D,S,R,,,,,,,x,,,,14.96,2767,12.54,7.84,223.6,,,14.2,14.2,,,,,,,3.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D37,4/26/2003,1,D,S,R,,,,,,,,,,,15.08,3725,13.57,8.3,213,,,28.4,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D51,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D57,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D67,4/26/2003,1,D,S,R,,,,,,,,,,,13.09,4025,11.77,7.97,223.9,,,14.9,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,4/26/2003,1,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D75,4/27/2003,1,D,S,R,,,,,,,,,,,15.03,2685,10.39,8.16,248.4,,,7.38,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9,4/26/2003,1,D,S,R,,,,,,,,,,,14.84,3503,13.47,8.15,225,,,26.2,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,5/30/2003,2,D,W,R,,,,,,,,,3.98,,14.08,3604,1.96,6.88,162.5,,,12.9,,,,,,,,2.2,,,,7.3,2.2,3.1,,3.71,,,218,485,159,9,1875,,656,1,307,51,252,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,46.7,47,-0.3,3196,,,1965.4
305,5/30/2003,2,D,W,R,,,,,,,,,3.6,,15.25,6397,0.64,6.67,165.1,,,24.2,,,,,,,,0.3,,,,7.1,6,8.2,,5.84,,,676,556,236,19,2373,,846,1,397,671,325,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,76.5,77.6,-0.7,5092,,,2534.6
306,6/11/2003,2,D,W,N,,,,,,,,,3.9,,16.9,21092,2.58,5.53,202.2,,,3400,,,,,,,,23.6,,,,5.8,18.1,19.4,,16.2,,,3277,578,1143,17,6203,,2037,1,112,4615,92,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,262.8,257.3,1.1,15847,,,6102.9
307,5/30/2003,2,D,W,R,,,,,,,,,6.31,,21.52,4743,3.48,5.9,156.6,,,38,,,,,,,,7.9,,,,6.3,4.9,6.7,,4.5,,,503,488,179,12,1966,,841,1,357,111,293,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,60.8,61,-0.1,4172,,,2519.6
314,5/29/2003,2,D,W,R,,,,,,,,,1.34,,16.08,3257,0.41,6.51,150.3,,,15.6,,,,,,,,2,,,,6.9,3.5,4.7,,3.53,,,312,375,140,11,1521,,570,1,394,62,323,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43.8,43.4,0.5,3003,,,1707.7
316,5/29/2003,2,D,W,R,,,,,,,,,2.62,,14.8,4397,0.28,6.37,17.5,,,33.6,,,,,,,,3.2,,,,6.6,4.9,6.7,,4.46,,,494,492,170,6,1938,,79,1,365,124,29,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,59.8,14.2,61.6,1889,,,236.7
320,6/11/2003,2,D,W,R,,,,,,,,,2.9,,15.31,3921,0.49,6.91,135.2,,,8.41,,,,,,,,1,,,,7.1,5,7.2,,4.07,,,411,319,120,88,1298,,416,1,764,215,626,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,45.6,44,1.8,3165,,,1246.3
321,5/29/2003,2,D,W,R,,,,,,,,,2.5,,17.44,3641,0.26,6.66,9.6,,,2.08,,,,,,,,13.2,,,,7.1,4.5,5.7,,3.89,,,403,342,163,6,1534,,626,1,308,104,252,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47.8,46.7,1.2,3203,,,1875.5
324,6/11/2003,2,D,W,R,,,,,,,,,3.29,,14.41,3382,3.05,7.17,112.8,,,0.592,,,,,,,,8.4,,,,7.4,3.8,4.9,,3.67,,,325,342,133,11,1409,,548,1,265,101,217,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,42.1,41,1.3,2820,,,1641.8
325,5/29/2003,2,D,W,N,,,,,,,,,7.59,,18.84,3152,7.82,6.55,126.8,,,5.23,,,,,,,,3.5,,,,7,4,5,,3.38,,,332,292,137,7,1301,,548,1,223,90,183,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.2,40.1,0.1,2724,,,1641.8
326,5/29/2003,2,D,W,R,,,,,,,,,1.31,,15.75,5738,0.41,6.16,-26.5,,,2.8,,,,,,,,9.8,,,,6.4,6.9,9,,5.58,,,758,477,262,10,2284,,1106,1,467,172,383,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,77.9,80.9,-1.8,5462,,,3313.6
329,5/30/2003,2,D,W,R,,,,,,,,,7.96,,17.85,5476,2.46,5.47,197.4,,,1.12,,,,,,,,14.7,,,,6,6.4,8.5,,5.2,,,666,472,204,15,2030,,1001,1,292,165,239,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,69.2,71.4,-1.6,4815,,,2999
332,5/29/2003,2,D,W,R,,,,,,,,,2.5,,13.93,3376,0.21,6.65,166.1,,,11.6,,,,,,,,4.2,,,,7.1,4.4,5.6,,3.64,,,375,305,144,8,1363,,571,1,300,107,246,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43.2,43.2,0.1,2951,,,1710.7
334,5/29/2003,2,D,W,R,,,,,,,,,1.34,,13.76,3584,0.2,6.76,100.9,,,11,,,,,,,,4.8,,,,7.3,4.5,5.9,,3.83,,,400,337,150,12,1468,,614,1,351,86,288,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46.5,46.1,0.5,3177,,,1839.5
335,5/29/2003,2,D,W,R,,,,,,,,,2.74,,15.77,3805,0.36,6.63,163.9,,,7.14,,,,,,,,4,,,,7.1,4.7,6.2,,3.93,,,440,370,172,14,1642,,644,1,377,104,309,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,51.7,48.9,2.8,3408,,,1929.4
336,5/29/2003,2,D,W,R,,,,,,,x,,4.42,,17.4,2990,5.93,7.11,171.9,,,9.6,9.63,,,,,,,3.5,3.8,,,7.6,3.8,4.8,,3.26,,,309,284,127,8,1239,,522,1,221,88,181,0.4,,,,,,,,,,,,,,,,,,,7.6,3.7,4.5,,3.24,,,29,287,129,8,1251,,522,1,217,87,178,0.41,,,,,,,,,,,,,,,,,,,1,38,38.4,-0.5,2602,,,1563.9
337,5/29/2003,2,D,W,R,,,,,,,,,4.6,,15.49,3498,2.28,6.36,190.6,,,14.6,,,,,,,,1.4,,,,6.7,4.5,5.8,,3.72,,,388,341,138,10,1428,,604,1,300,106,246,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,45.2,45.2,0,3094,,,1809.6
340,6/3/2003,2,D,W,R,,,,,,,,,2.48,,17.25,4386,5.09,6.93,123.4,,,18.6,,,,,,,,5.1,,,,7.3,5.4,7.1,,4.29,,,508,392,170,11,1688,,750,1,343,117,281,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55.5,55.3,0.2,3790,,,2247
342,6/3/2003,2,D,W,R,,,,,,,,,2.32,,13.94,5464,3.75,6.84,181.5,,,26.4,,,,,,,,1,,,,7.2,6.5,8.3,,5.21,,,670,405,234,8,1988,,960,1,428,150,351,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,68.2,70.6,-1.7,4773,,,2876.2
344,6/3/2003,2,D,W,R,,,,,,,,,4.05,,13.71,3228,1.08,7.03,157.5,,,15.6,,,,,,,,1.6,,,,7.4,4.4,5.9,,3.39,,,354,312,106,13,1222,,511,1,294,83,241,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,39.7,38.7,1.3,2694,,,1531
345,6/3/2003,2,D,W,R,,,,,,,,,2.3,,15.69,5084,2.63,7,153.6,,,46.7,,,,,,,,5,,,,7.3,6.7,8.9,,4.73,,,651,393,186,10,1758,,858,1,423,135,346,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,63,63.7,-0.6,4370,,,2570.6
347,6/10/2003,2,D,W,R,,,,,,,,,7.68,,19.29,4719,1.36,6.84,136.2,,,6.76,,,,,,,,0.5,,,,7.1,5.6,8.6,,4.63,,,547,49,129,27,1785,,717,1,550,133,451,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,37.1,57,-21.1,3585,,,2148.1
352,6/3/2003,2,D,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,6/3/2003,2,D,W,R,,,,,,,,,6.08,,14.25,3246,2.23,6.92,6.8,,,25.6,,,,,,,,1.9,,,,7.3,4.1,5.5,,3.48,,,334,328,109,22,1274,,519,1,307,81,252,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,40.2,39.4,1,2737,,,1554.9
357,6/3/2003,2,D,W,R,,,,,,,,,5.79,,13.9,3629,2.8,6.73,147.8,,,15.3,,,,,,,,2.2,,,,7.1,3.7,5.3,,3.71,,,345,412,139,21,1609,,591,1,413,89,339,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,47.2,45.7,1.6,3191,,,1770.6
361,6/11/2003,2,D,W,R,,,,,,,,,8.92,,16.63,5812,5.33,7.01,166,,,57.7,,,,,,,,0,,,,7,6.1,7.6,,5.72,,,671,444,282,21,2285,,1098,1,291,152,238,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,74.4,77,-1.7,5153,,,3289.6
362,6/3/2003,2,D,W,N,,,,,,,,,2.24,,14.99,5034,7.72,6.95,198,,,30.2,,,,,,,,2.7,,,,7.3,6.3,8.7,,4.81,,,629,462,171,11,1863,,851,1,400,148,328,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,64.3,63.3,0.8,4372,,,2549.6
365,6/11/2003,2,D,W,R,,,,,,,,,2.19,,14.28,5530,8.43,7.06,154.5,,,26.8,,,,,,,,3.7,,,,7.4,6.6,8.4,,5.21,,,681,423,235,11,2037,,92,1,378,156,310,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,69.8,16.1,62.5,2162,,,275.6
371,6/11/2003,2,D,W,R,,,,,,,,,5.21,,16.55,18708,0.93,6.96,138.3,,,102,,,,,,,,5.2,,,,7.2,21.5,23.2,,15.3,,,3762,390,1151,32,5767,,3778,1,643,1250,527,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,275.3,279.5,-0.8,18553,,,11318.9
372,6/11/2003,2,D,W,R,,,,,,,,,4.45,,16.32,7384,4.45,6.95,146,,,140,,,,,,,,0,,,,7.2,8.1,9.8,,6.69,,,940,418,358,15,2537,,1492,1,400,182,328,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,90.7,104,-6.8,6786,,,4470
375,6/11/2003,2,D,W,R,,,,,,,,,5.55,,15.27,5677,5.11,6.82,151.9,,,59.2,,,,,,,,4.9,,,,7.2,6.6,9.3,,5.29,,,681,499,177,12,1985,,948,1,428,184,351,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,68.9,70.8,-1.4,4824,,,2840.2
376,6/10/2003,2,D,W,R,,,,,,,,,2.09,,14.69,6489,0.61,6.8,68.9,,,92.5,,,,,,,,10.2,,,,7.1,8.6,11.1,,6.1,,,941,447,272,5,2251,,1110,1,569,193,46,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,85,83.3,1,5754,,,3325.6
378,6/5/2003,2,D,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,6/10/2003,2,D,W,R,,,,,,,,,2.58,,15.08,6372,0.32,6.78,21.9,,,49.5,,,,,,,,6.5,,,,7.1,8.5,11.3,,5.97,,,879,444,222,14,2035,,1041,1,527,212,432,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,78.3,78.9,-0.4,5419,,,3118.8
383,6/11/2003,2,D,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,6/11/2003,2,D,W,R,,,,,,,,,4.15,,17.81,3021,1.05,6.99,151.1,,,10.1,,,,,,,,0,,,,7.3,3,4.2,,3.14,,,251,351,98,16,1286,,497,1,278,84,228,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,36.7,37.6,-1.2,2568,,,1489
387,6/5/2003,2,D,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,6/11/2003,2,D,W,N,,,,,,,,,6.78,,20.98,6880,0.95,6.89,-13.6,,,5.76,,,,,,,,142,,,,7.1,7.6,9.7,,6.31,,,869,482,301,26,2459,,1247,1,508,224,417,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,86.5,91.7,-2.9,6148,,,3736
393,6/11/2003,2,D,W,R,,,,,,,x,,2.74,,14.22,6462,0.65,7.01,96.3,,,67.2,67.8,,,,,,,0,0.6,,,7.2,8,10.2,,6.06,,,860,434,267,21,2197,,1205,1,483,148,396,1.5,,,,,,,,,,,,,,,,,,,7.3,7.9,10.1,,6.11,,,851,437,263,21,2188,,1155,1,483,146,396,1.4,,,,,,,,,,,,,,,,,,,0.9,80.9,86.6,-3.4,5826,,,3610.2
397,6/10/2003,2,D,W,R,,,,,,,,,2.3,,14.8,5331,5.11,6.84,145.7,,,56.9,,,,,,,,2.8,,,,7.1,6.3,8.1,,5.06,,,653,417,230,13,2001,,878,1,336,181,275,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,67.9,64.9,2.3,4463,,,2630.5
400,6/10/2003,2,D,W,R,,,,,,,,,4.33,,14.81,4304,0.67,7.04,143.8,,,18.7,,,,,,,,2.2,,,,7.3,3.9,5.4,,4.21,,,396,486,173,24,1936,,746,1,320,92,262,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,56,53.9,1.8,3728,,,2235
401,6/10/2003,2,D,W,R,,,,,,,,,1.62,,14.6,5611,0.17,6.97,-15.8,,,10.3,,,,,,,,44.8,,,,7.2,8,10.5,,5.43,,,753,378,180,23,1695,,867,1,418,216,342,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,66.5,66.5,0,4567,,,2597.5
303A,5/30/2003,2,D,W,D,,,,,,,,,7.1,,21.62,4132,3.56,6.76,167.8,,,16.2,,,,,,,,1.6,,,,7.2,2.9,3.9,,4.05,,,308,500,211,15,2129,,781,1,409,34,335,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55.7,55.9,-0.2,3820,,,2339.9
308A,5/30/2003,2,D,W,R,,,,,,,x,,6.16,,16.05,4472,4.19,6.6,194.6,,,15,15.2,,,,,,,1.33,2.13,,,7,4,5.6,,4.28,,,421,503,193,10,2062,,827,1,432,46,354,1,,,,,,,,,,,,,,,,,,,7,4.1,5.8,,4.32,,,428,490,190,10,2017,,776,1,451,46,369,1.3,,,,,,,,,,,,,,,,,,,1,59.1,59.5,-0.3,4085,,,2477.7
312AA,6/11/2003,2,D,W,R,,,,,,,,,9.33,,15.16,2691,5.42,6.82,108.7,,,16.1,,,,,,,,10.5,,,,7.1,3.6,5.1,,2.88,,,263,261,89,7,1023,,377,1,476,45,390,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.8,32.3,-0.8,2272,,,1129.5
319A,5/29/2003,2,D,W,R,,,,,,,,,2.56,,15.14,3934,0.2,7.12,95.5,,,1.3,,,,,,,,0.1,,,,7.5,4.9,5.8,,3.9,,,454,335,192,7,1638,,717,1,195,106,160,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52,50.5,1.4,3439,,,2148.1
350A,6/3/2003,2,D,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
